fid,username,time_utc,packs,eth,tx_hash
1349693,intwo.eth,2026-02-06T06:41:35.474Z,1,0.000600000000000000,0xc53933ea2d7eb3c9fe3eadde8b0586828c32f7cd23bb20a26ea4f7e817a5024b
205881,jmk,2026-02-06T07:35:17.096Z,1,0.000600000000000000,0x8de130b08adeaf8164bc078cd0093d3777bce829d4f1d8c50f9020b10cc8cd6f
13796,ashwinikumar.eth,2026-02-06T10:14:07.736Z,1,0.000600000000000000,0x6bcaf9dd88d947f96bf04d48462792e2accfd98b548787d464a90da4980116bc
891234,jackstar20,2026-02-06T11:24:05.525Z,1,0.000600000000000000,0x4f5428bfc95da4d93b0724f075e472fdff05e20893db2e9f1b249c5de2de44a0
1771683,graidar,2026-02-06T11:24:43.839Z,1,0.000600000000000000,0x5cc923cf9bc46cf66a8605c702f0ea09c8b080609bf9e8c155e57e7f4b14e194
191648,thoughtcrimeboss,2026-02-06T12:03:37.628Z,2,0.001200000000000000,0xc640973cb5612c38d39796c343d7e44f520f9ab8fc44098de31aeff799382c23
432964,pablo9678a,2026-02-06T12:13:32.729Z,1,0.000600000000000000,0xc401f6e0996eef129e2f3199cb594c6af20da94d134eb6b7ddad22fe85d4dd3f
493142,filtrodeaceite,2026-02-06T12:15:58.881Z,1,0.000600000000000000,0x026127a50cbb479b9ac04edeb77b58591ecebd341a55fe8ebc4fcd061b203851
1007234,turbonerdz,2026-02-06T14:09:53.505Z,1,0.000600000000000000,0x51b99e75c1d9b72aff59f381a3ad48386324de0456f9374daa22c7f89f46a693
236070,,2026-02-06T14:22:56.067Z,1,0.000600000000000000,0xed26664f2ad641a437538a6992b4ebeadc4924754f12398fc0d49f14794ac3a4
205525,psr,2026-02-06T15:35:52.158Z,3,0.001800000000000000,0x313babacf1cf77c759005696144bb57c8f2d202d909211333e65c8efc08851df
205525,psr,2026-02-06T15:39:17.910Z,3,0.002700000000000000,0x34eecc4c55a913b78ca7177c7da0418cdf918560a9018773f4b1859f8b4945a4
205525,psr,2026-02-06T15:49:22.306Z,3,0.003600000000000000,0x51c67978abfed62e7e78e5a49a9ed771fa6859c1f8e11f10f7f8bbdacf9f383d
205525,psr,2026-02-06T15:54:05.941Z,1,0.001200000000000000,0xf8d6ea7da2868a4bfaa9e7d03cf698dd432da9891af42448e2d17bfde032b387
1278135,biggsy,2026-02-06T16:14:47.484Z,1,0.000900000000000000,0xd6587c5eb1dcb99aa486a0e26b1b4a684945c9d9a98be3338d434961d815189c
13796,ashwinikumar.eth,2026-02-06T16:26:19.477Z,1,0.000600000000000000,0x3dd1d92ba760f96e2f8f91de12bfea27a2afd7fe213abe18a4462e185ce03ffa
891234,jackstar20,2026-02-06T16:37:08.903Z,1,0.000600000000000000,0x0de79b8f6f3777be879bbb990f6e6007c7abde704304dfefe14f5b1fa13b0bee
345377,basevip,2026-02-06T16:56:16.517Z,1,0.000600000000000000,0x98b624ed4f1e1ed314d124724b9cee44f32a198a625f56a229061d7c595f237c
891234,jackstar20,2026-02-06T17:00:30.807Z,1,0.000600000000000000,0xaea4454a0b1315c49a6a0b55057818eb8165e4abfd54dd2aeb07cb40b46cff52
432964,pablo9678a,2026-02-06T17:03:17.889Z,3,0.001800000000000000,0x679547fb49a51858ec459efb0b75eb25d45726af3e620ca72ad0eacfff247df3
817345,hugglemonster,2026-02-06T17:09:08.227Z,1,0.000600000000000000,0x39d4e3e1b6b2bda61ca0b2a14d5df852b8f65ceebad2fba21f3ddcf0abc8a468
891234,jackstar20,2026-02-06T17:10:26.201Z,1,0.000600000000000000,0x37867a9678936436db9e8ae4a57f05bc9d9604f0d584a6949d738a30e67eabbe
432964,pablo9678a,2026-02-06T17:14:24.354Z,1,0.000900000000000000,0x256b1ca7f7de2568fe3b3ca1dd3cf285da55e9d06e411343643a2c9162b93db0
432964,pablo9678a,2026-02-06T17:17:59.999Z,2,0.001800000000000000,0xedf4a82ac6e13a71585a04082fb45cfd207a378eea1ba4a16dca30759f1f8920
432964,pablo9678a,2026-02-06T17:20:00.711Z,2,0.002400000000000000,0x4922a9eb33b04e0d2efbedd3e6e83e1ec8ee4457211ccf66f24dc3dfe7eb5c4f
817332,jorja,2026-02-06T17:21:23.698Z,1,0.000600000000000000,0x724ad0e3604e7ed2e6eb496d73995009f6b52aced44f11752126847c69ceb6a6
432964,pablo9678a,2026-02-06T17:21:58.139Z,2,0.002400000000000000,0x05d3b32d34f86eac644ec8c2c0e69c0fd3a910eb64c2739c2799979e6b58d74b
817332,jorja,2026-02-06T17:23:40.387Z,1,0.000600000000000000,0x93027d21728b70eee355cd3a62ff8c0f4e86eb0d689ced597eb43d26e12148c3
817345,hugglemonster,2026-02-06T17:23:46.641Z,1,0.000600000000000000,0x7e6728a6449962111d56258ee61554c12737de77168591122f617500ff27c991
817345,hugglemonster,2026-02-06T17:25:17.673Z,1,0.000600000000000000,0x2c903704171985b0283a58f9fae1c672575ed284893ac49b48ce79bf28296818
961044,kazzah,2026-02-06T17:26:41.808Z,1,0.000600000000000000,0x6b3047de441efa5f3585bb98b2bbe686b2c1c86f03e24bb87faea827b14e2df4
896911,alieot,2026-02-06T17:28:44.928Z,1,0.000600000000000000,0xf92094260b9d1a9042e92c9cbf4ca01bb2f2db0a95df36a8bda9f9a9eb7f2209
817332,jorja,2026-02-06T17:29:55.025Z,1,0.000600000000000000,0x57a30b3dde329bf6d17251957cd47bf38532df54795f2780f25e8bc9f932c05e
891234,jackstar20,2026-02-06T17:30:05.552Z,1,0.000600000000000000,0x899d13959f7181974e98d3a841e35eedc0862f60667406ce1524b275363a360a
432964,pablo9678a,2026-02-06T17:33:32.018Z,2,0.002400000000000000,0xf9b416aa2a5adba8e39fea12dfc992bb0cf56090f988d684a7ceee66c68476ac
432964,pablo9678a,2026-02-06T17:37:17.586Z,1,0.001200000000000000,0xc13093fa55418f01c90a4df00560bdffa72e66d7a4440a87b4e8ec12ae460269
827722,tamey,2026-02-06T17:41:52.300Z,3,0.001800000000000000,0xdf220f36af109b07dc241b417486db7bc4b624877a4fb16d5c2f68a5d7031bd2
396,farcasterintern.eth,2026-02-06T17:41:59.696Z,2,0.001200000000000000,0x48924af0928e314b9274e3238b9e7b794a9ae1ae44b1e9a00652af6829671965
203482,rilas00,2026-02-06T17:43:25.871Z,3,0.001800000000000000,0x7379ca97523ee574ba5dbd6fe3b1db5811f86327c93a606ebfd21a74aac68faf
396,farcasterintern.eth,2026-02-06T17:43:35.401Z,2,0.001500000000000000,0xde0329da659a94d7ae7cb2881f367b9396d3ecd4a37a91bf49cb36b06c5c244f
817345,hugglemonster,2026-02-06T17:43:40.429Z,1,0.000900000000000000,0x0616e113c3fbe35658e1132630fdb96be2ebb9f875a4249f1468ef2c62240b87
817345,hugglemonster,2026-02-06T17:46:10.782Z,1,0.000900000000000000,0xa1c15d6d5ea4d5abd61b087bb35ea1aa60421a9117f4b24266db9baf253fdc07
493142,filtrodeaceite,2026-02-06T17:49:28.778Z,1,0.000600000000000000,0x10b3ece4218b4c9160ae6812960ab139016d30ac4e3f37c35ea013e0b938616f
817345,hugglemonster,2026-02-06T17:53:12.041Z,1,0.000900000000000000,0xc9fe11fff0477b018b4ee7b9c123aa3e9410e145c121cdf24e5c1cb3279272fa
396,farcasterintern.eth,2026-02-06T17:53:34.187Z,1,0.000900000000000000,0x5193a9696a0b5e5cf5e5cfc876e9699f1ae6b58081801153569c44eb14183d57
831460,tocoman,2026-02-06T17:54:04.782Z,2,0.001200000000000000,0xb52be0dfc24dbc95086a8282cceeb21f0f72385b3d3a39bbd947d0e5213effd4
